#,Company,Symbol,Weight,Price,Chg,% Chg
327,Dover Corporation,DOV,0.05%,179.66,2.41,1.36
328,Warner Bros. Discovery,WBD,0.05%,9.88,0.22,2.33
329,Estée Lauder Companies (The),EL,0.05%,67.91,0.46,0.68
330,Church & Dwight,CHD,0.05%,98.99,-0.0,0.01
331,SBA Communications,SBAC,0.05%,226.57,-3.09,1.34
332,Atmos Energy,ATO,0.04%,151.68,-0.67,0.44
333,Eversource Energy,ES,0.04%,65.17,-0.13,0.19
334,Steris,STE,0.04%,243.09,-0.49,0.2
335,Hewlett Packard Enterprise,HPE,0.04%,18.2,0.43,2.45
336,CenterPoint Energy,CNP,0.04%,36.47,-0.36,0.99
337,HP Inc.,HPQ,0.04%,25.25,0.55,2.21
338,Corpay,CPAY,0.04%,335.23,4.17,1.26
339,Cincinnati Financial,CINF,0.04%,150.6,0.73,0.49
340,CDW,CDW,0.04%,178.35,2.51,1.43
341,Teledyne Technologies,TDY,0.04%,500.53,0.51,0.1
342,FirstEnergy,FE,0.04%,40.5,-0.23,0.56
343,Huntington Bancshares,HBAN,0.04%,16.05,0.31,1.94
344,Cboe Global Markets,CBOE,0.04%,222.18,-0.57,0.26
345,Archer Daniels Midland,ADM,0.04%,47.5,0.52,1.1
346,Smurfit WestRock,SW,0.04%,43.22,0.15,0.35
347,Synchrony Financial,SYF,0.04%,58.92,1.47,2.57
348,Expedia Group,EXPE,0.04%,175.68,2.3,1.33
349,NetApp,NTAP,0.04%,106.8,2.2,2.1
350,Insulet Corporation,PODD,0.04%,312.98,-4.18,1.32
351,ON Semiconductor,ON,0.04%,50.91,1.37,2.77
352,LabCorp,LH,0.04%,252.79,0.63,0.25
353,Hubbell Incorporated,HUBB,0.04%,396.39,7.78,2.0
354,Waters Corporation,WAT,0.04%,350.68,4.35,1.26
355,"NVR, Inc.",NVR,0.04%,7133.66,-60.82,0.85
356,Northern Trust,NTRS,0.04%,107.21,0.74,0.7
357,Ulta Beauty,ULTA,0.04%,463.06,-3.98,0.85
358,CMS Energy,CMS,0.04%,69.54,0.2,0.29
359,Amcor,AMCR,0.04%,9.08,0.04,0.39
360,Devon Energy,DVN,0.04%,32.36,0.93,2.98
361,T. Rowe Price,TROW,0.04%,93.9,0.66,0.71
362,Edison International,EIX,0.04%,53.72,0.08,0.15
363,PTC Inc.,PTC,0.04%,170.23,2.41,1.44
364,Invitation Homes,INVH,0.04%,33.03,0.09,0.28
365,PulteGroup,PHM,0.04%,100.96,-0.68,0.67
366,Dow Inc.,DOW,0.04%,28.55,0.37,1.31
367,Steel Dynamics,STLD,0.04%,134.35,2.25,1.7
368,Dollar Tree,DLTR,0.04%,94.28,-2.39,2.47
369,Western Digital,WDC,0.04%,56.67,1.62,2.94
370,McCormick & Company,MKC,0.04%,73.55,0.64,0.88
371,Williams-Sonoma,WSM,0.04%,159.62,1.64,1.03
372,Tyson Foods,TSN,0.04%,55.33,0.09,0.15
373,International Flavors & Fragrances,IFF,0.04%,76.85,0.39,0.51
374,Regions Financial Corporation,RF,0.04%,21.85,0.52,2.46
375,Weyerhaeuser,WY,0.04%,27.02,0.32,1.2
376,Lennox International,LII,0.04%,550.66,0.05,0.01
377,Erie Indemnity,ERIE,0.04%,373.09,5.76,1.57
378,Quest Diagnostics,DGX,0.04%,174.63,0.98,0.56
379,Biogen,BIIB,0.04%,133.0,2.64,2.02
380,Coterra,CTRA,0.04%,25.52,0.69,2.76
381,Leidos,LDOS,0.04%,147.81,2.44,1.68
382,Jabil,JBL,0.04%,175.59,2.95,1.71
383,Southwest Airlines,LUV,0.03%,32.91,0.45,1.4
384,Global Payments,GPN,0.03%,76.44,0.42,0.55
385,Loews Corporation,L,0.03%,88.68,0.06,0.07
386,NiSource,NI,0.03%,38.96,-0.04,0.09
387,Zimmer Biomet,ZBH,0.03%,92.41,0.49,0.53
388,Gen Digital,GEN,0.03%,29.23,0.1,0.33
389,LyondellBasell,LYB,0.03%,56.34,0.74,1.33
